#1 ---------------------------------------------------------------- 1#
#2     Nucleosynthesis yields of B11TW0.25 model                    2#
#3     Nishimura, Takiwaki and Thielemann, ApJ 810:109 (2015)       3#
#4     Total ejecta:     2.68000e-02  in Solar Mass                 4#
#5 ---------------------------------------------------------------- 5#
#6   name     Z    N    A    X                   Y                  6#
#7 ---------------------------------------------------------------- 7#
     se74    34   40   74    9.5344862754e-06    9.5344862754e-06
     se76    34   42   76    8.3616509451e-06    8.3616509451e-06
     se77    34   43   77    5.0109300228e-03    5.0109300228e-03
     se78    34   44   78    8.2269288460e-02    8.2269288460e-02
     se80    34   46   80    5.0583542819e-02    5.0583542819e-02
     se82    34   48   82    5.4317178130e-03    5.4317178130e-03
     br79    35   44   79    1.4441196938e-02    1.4441196938e-02
     br81    35   46   81    3.5546092332e-02    3.5546092332e-02
     kr78    36   42   78    1.5206565675e-06    1.5206565675e-06
     kr80    36   44   80    2.4520702161e-06    2.4520702161e-06
     kr82    36   46   82    8.7688075112e-07    8.7688075112e-07
     kr83    36   47   83    3.5136055507e-03    3.5136055507e-03
     kr84    36   48   84    1.2275102405e-02    1.2275102405e-02
     kr86    36   50   86    6.0114398768e-03    6.0114398768e-03
     rb85    37   48   85    7.2309694006e-03    7.2309694006e-03
     rb87    37   50   87    7.4896126289e-03    7.4896126289e-03
     sr84    38   46   84    1.8389051488e-07    1.8389051488e-07
     sr86    38   48   86    2.8671474935e-07    2.8671474935e-07
     sr87    38   49   87    5.8890888887e-08    5.8890888887e-08
     sr88    38   50   88    3.3213682862e-03    3.3213682862e-03
     y89     39   50   89    2.2241997515e-03    2.2241997515e-03
     zr90    40   50   90    3.7086130640e-03    3.7086130640e-03
     zr91    40   51   91    5.2752137577e-03    5.2752137577e-03
     zr92    40   52   92    4.4290077614e-03    4.4290077614e-03
     zr94    40   54   94    2.7208643560e-03    2.7208643560e-03
     zr96    40   56   96    2.9669464562e-03    2.9669464562e-03
     nb93    41   52   93    1.3432506350e-03    1.3432506350e-03
     mo92    42   50   92    6.9519543428e-07    6.9519543428e-07
     mo94    42   52   94    2.7185541486e-09    2.7185541486e-09
     mo95    42   53   95    5.4971936933e-03    5.4971936933e-03
     mo96    42   54   96    1.7859003886e-05    1.7859003886e-05
     mo97    42   55   97    2.0421634031e-03    2.0421634031e-03
     mo98    42   56   98    4.6736997367e-03    4.6736997367e-03
     mo100   42   58  100    1.7494171121e-03    1.7494171121e-03
     ru96    44   52   96    3.8212031755e-11    3.8212031755e-11
     ru98    44   54   98    5.6856706201e-13    5.6856706201e-13
     ru99    44   55   99    3.3458904885e-03    3.3458904885e-03
     ru100   44   56  100    5.8547358035e-15    5.8547358035e-15
     ru101   44   57  101    1.3408104158e-03    1.3408104158e-03
     ru102   44   58  102    9.6426459891e-04    9.6426459891e-04
     ru104   44   60  104    1.8098625406e-03    1.8098625406e-03
     rh103   45   58  103    1.3959853710e-03    1.3959853710e-03
     pd102   46   56  102    6.6250449836e-15    6.6250449836e-15
     pd104   46   58  104    4.1065788046e-16    4.1065788046e-16
     pd105   46   59  105    2.7309552623e-03    2.7309552623e-03
     pd106   46   60  106    1.9966293138e-03    1.9966293138e-03
     pd108   46   62  108    3.4342684256e-03    3.4342684256e-03
     pd110   46   64  110    2.9295630989e-03    2.9295630989e-03
     ag107   47   60  107    2.6032337918e-03    2.6032337918e-03
     ag109   47   62  109    2.4841931010e-03    2.4841931010e-03
     cd106   48   58  106    1.2045981828e-15    1.2045981828e-15
     cd108   48   60  108    1.2484921249e-15    1.2484921249e-15
     cd110   48   62  110    8.2863841856e-16    8.2863841856e-16
     cd111   48   63  111    4.2536820157e-03    4.2536820157e-03
     cd112   48   64  112    1.6635994049e-03    1.6635994049e-03
     cd113   48   65  113    4.8943195502e-04    4.8943195502e-04
     cd114   48   66  114    1.8958502630e-04    1.8958502630e-04
     cd116   48   68  116    8.0972371986e-05    8.0972371986e-05
     in113   49   64  113    1.4503002489e-16    1.4503002489e-16
     in115   49   66  115    8.2760132542e-05    8.2760132542e-05
     sn112   50   62  112    7.7424853390e-15    7.7424853390e-15
     sn114   50   64  114    9.0046486916e-15    9.0046486916e-15
     sn115   50   65  115    1.4280482505e-16    1.4280482505e-16
     sn116   50   66  116    5.8987097527e-15    5.8987097527e-15
     sn117   50   67  117    5.9497443361e-05    5.9497443361e-05
     sn118   50   68  118    6.4884527165e-05    6.4884527165e-05
     sn119   50   69  119    6.2877646931e-05    6.2877646931e-05
     sn120   50   70  120    5.8764477534e-05    5.8764477534e-05
     sn122   50   72  122    5.6353761032e-05    5.6353761032e-05
     sn124   50   74  124    1.1943572631e-04    1.1943572631e-04
     sb121   51   70  121    8.1415211757e-05    8.1415211757e-05
     sb123   51   72  123    6.3148471253e-05    6.3148471253e-05
     te120   52   68  120    8.6867201390e-16    8.6867201390e-16
     te122   52   70  122    9.0908164302e-17    9.0908164302e-17
     te123   52   71  123    6.7059522498e-17    6.7059522498e-17
     te124   52   72  124    1.3558617676e-16    1.3558617676e-16
     te125   52   73  125    5.3140472452e-04    5.3140472452e-04
     te126   52   74  126    1.6185253569e-03    1.6185253569e-03
     te128   52   76  128    3.6668693151e-03    3.6668693151e-03
     te130   52   78  130    6.0027290945e-04    6.0027290945e-04
     i127    53   74  127    2.5598398947e-03    2.5598398947e-03
     xe124   54   70  124    3.4201571583e-15    3.4201571583e-15
     xe126   54   72  126    2.3291691786e-15    2.3291691786e-15
     xe128   54   74  128    2.9429142979e-16    2.9429142979e-16
     xe129   54   75  129    1.6332466790e-03    1.6332466790e-03
     xe130   54   76  130    4.7608775660e-16    4.7608775660e-16
     xe131   54   77  131    7.8101714177e-05    7.8101714177e-05
     xe132   54   78  132    1.1912569847e-05    1.1912569847e-05
     xe134   54   80  134    7.3093664413e-08    7.3093664413e-08
     xe136   54   82  136    3.7171338292e-06    3.7171338292e-06
     cs133   55   78  133    1.2104787110e-06    1.2104787110e-06
     ba130   56   74  130    8.5016635194e-15    8.5016635194e-15
     ba132   56   76  132    1.2224597870e-15    1.2224597870e-15
     ba134   56   78  134    1.6235958123e-16    1.6235958123e-16
     ba135   56   79  135    1.8098725415e-09    1.8098725415e-09
     ba136   56   80  136    2.0436535369e-15    2.0436535369e-15
